shidu,wendu,shineiwendu,ziwaixian,fushe,fengsu,fengxiang
40.712,17.946,22.2,-55.31,23.988,0.608,132.136
47.284,16.383,20.5,-55.383,0,0.504,134.28
51.75,15.325,19,-55.323,0,0.805,84.424
53.75,14.439,17.8,-55.448,0,0.402,109.924
54.25,13.773,17.1,-55.431,0,0.504,143.28
57.712,13.019,16.4,-55.334,0,0.504,146.28
60.07,12.333,15.7,-55.328,0,0.605,118.068
61.712,11.781,15.2,-55.26,0,0.504,132.28
63.75,11.332,14.8,-55.258,0,0,132
66.5,10.625,14.4,-55.317,0,0,132
67.5,10.658,14.9,-55.381,0,0,132
69.5,9.942,16,-55.364,0,0,137
72,9.265,16.2,-55.358,0,0,137
71,10.046,16.4,-55.339,0,0,134
69.5,10.714,16.6,-55.408,0,0,137
72,10.096,16.7,-55.366,0,0,134
73,10.538,16.8,-55.432,0,0,140
75,10.514,16.9,-55.432,0,0.101,140.848
77,10.511,17.2,-55.485,0,0.101,140.848
78,10.439,17.2,-55.276,0,0.101,140.848
78.5,10.229,17.2,-55.432,0,0.101,140.848
79,10.25,17.2,-55.315,0,0.101,140.848
79,10.44,17.1,-55.33,0,0.101,120.924
79.5,9.909,17.1,-55.283,0,0,120.5
82,9.53,17,-55.362,0,0,120.5
80,10.275,17,-55.289,0,0.101,120.924
79,10.363,17,-55.488,0,0.101,120.924
78,10.872,17.3,-55.304,0,0.201,129.848
77,11.106,17.6,-55.308,0,0.101,132.848
75.5,11.484,17.9,-55.335,5.997,0,134
73.5,12.204,18.2,-55.486,0,0.101,151.848
72,12.942,18.1,-55.477,11.994,0.101,137.848
69.5,14.041,18.1,-55.382,35.975,0.101,134.848
66.5,14.89,18.5,-55.375,41.975,0.101,56.212
63.5,15.63,19.1,-55.419,47.975,0.202,120.924
61.5,16.07,19.5,-55.316,65.95,0.304,61.784
64.5,15.939,19.6,-55.29,59.975,0,272
68,15.477,19.2,-55.496,35.975,0.608,188.136
74.5,14.788,18.6,-55.255,23.988,0,137
77,14.533,18.2,-55.358,11.994,0,137
81,14.096,17.9,-55.303,11.994,0,132
83,13.903,17.9,-55.433,23.988,0,118
84,13.803,17.3,-55.26,11.994,0,112
82.5,13.908,17.2,-55.273,11.994,0,162
79,14.266,17.3,-55.45,17.988,0,241
76,15.007,18.7,-55.494,77.95,0,213
73.5,15.737,19.9,-55.34,83.95,0.101,162.848
72.5,15.749,20,-55.447,41.975,0.506,140.28
72.5,15.645,19.6,-55.419,23.988,0,132
73.5,15.306,18.6,-55.402,5.997,0.101,84.424
75.5,14.713,17.5,-55.281,0,0,84
82,12.669,16.7,-55.477,0,0,84
84.5,12.504,16.1,-55.304,0,0,98
85.5,12.136,15.5,-55.287,0,0.101,103.924
86,11.954,15.1,-55.471,0,0,115
87,11.715,14.9,-55.286,0,0,115
86.5,12.031,14.8,-55.328,0,0,118
85,12.384,14.8,-55.409,0,0,118
86,11.943,14.6,-55.3,0,0,118
88,10.999,14.5,-55.359,0,0,118
86.5,11.786,14.3,-55.431,0,0,120.5
83.5,12.204,14.1,-55.379,0,0,120.5
84.5,11.311,14.3,-55.455,0,0.101,118.424
87,10.529,15.5,-55.485,0,0,120.5
89,9.949,15.8,-55.418,0,0,120.5
89,10.458,16,-55.383,0,0,118
87.5,9.857,16.1,-55.362,0,0,120.5
88,9.224,16.1,-55.384,0,0,118
